"Status","Year","Disability","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Female","1640","1460","28230","27570"
"In post","2021","Declared disabled","East Midlands (England)","Male","1030","980","28820","27570"
"In post","2021","Declared disabled","East of England","Female","1560","1400","29010","27570"
"In post","2021","Declared disabled","East of England","Male","1020","960","31230","29290"
"In post","2021","Declared disabled","London","Female","5390","5040","39410","33620"
"In post","2021","Declared disabled","London","Male","3820","3710","42100","36300"
"In post","2021","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Female","2120","1790","26730","25560"
"In post","2021","Declared disabled","North East (England)","Male","1300","1210","27370","25560"
"In post","2021","Declared disabled","North West (England)","Female","4340","3780","27750","26730"
"In post","2021","Declared disabled","North West (England)","Male","2670","2520","29070","27570"
"In post","2021","Declared disabled","Northern Ireland","Female","170","160","28530","25560"
"In post","2021","Declared disabled","Northern Ireland","Male","150","140","26090","23250"
"In post","2021","Declared disabled","Overseas","Female","90","90","47880","51500"
"In post","2021","Declared disabled","Overseas","Male","140","140","48330","42800"
"In post","2021","Declared disabled","Scotland","Female","2620","2310","29680","27570"
"In post","2021","Declared disabled","Scotland","Male","1850","1750","31430","27570"
"In post","2021","Declared disabled","South East (England)","Female","2560","2290","29490","27570"
"In post","2021","Declared disabled","South East (England)","Male","2010","1910","31170","28980"
"In post","2021","Declared disabled","South West (England)","Female","2530","2260","30590","27570"
"In post","2021","Declared disabled","South West (England)","Male","2230","2140","34150","31600"
"In post","2021","Declared disabled","Unknown","Female","120","110","30860","27570"
"In post","2021","Declared disabled","Unknown","Male","70","70","32220","27570"
"In post","2021","Declared disabled","Wales","Female","2250","1940","27690","26120"
"In post","2021","Declared disabled","Wales","Male","1290","1220","30370","27570"
"In post","2021","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Female","2270","2010","28380","27570"
"In post","2021","Declared disabled","West Midlands (England)","Male","1330","1260","29790","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Female","2440","2130","29560","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Male","1550","1460","30820","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Female","8150","7260","29070","27150"
"In post","2021","Declared non-disabled","East Midlands (England)","Male","6100","5890","31440","27570"
"In post","2021","Declared non-disabled","East of England","Female","8520","7640","29510","27570"
"In post","2021","Declared non-disabled","East of England","Male","6990","6730","32000","29290"
"In post","2021","Declared non-disabled","London","Female","36600","34410","42290","36160"
"In post","2021","Declared non-disabled","London","Male","30680","30100","45510","39960"
"In post","2021","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Female","12280","10560","27740","25560"
"In post","2021","Declared non-disabled","North East (England)","Male","8040","7700","30240","27570"
"In post","2021","Declared non-disabled","North West (England)","Female","23680","21060","28830","26930"
"In post","2021","Declared non-disabled","North West (England)","Male","16590","16020","30930","27570"
"In post","2021","Declared non-disabled","Northern Ireland","Female","1090","980","29000","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Male","1230","1190","28350","25490"
"In post","2021","Declared non-disabled","Overseas","Female","980","970","48630","47000"
"In post","2021","Declared non-disabled","Overseas","Male","1590","1590","49920","48120"
"In post","2021","Declared non-disabled","Scotland","Female","15260","13680","31420","27570"
"In post","2021","Declared non-disabled","Scotland","Male","11710","11340","33940","28130"
"In post","2021","Declared non-disabled","South East (England)","Female","14640","13220","30220","27570"
"In post","2021","Declared non-disabled","South East (England)","Male","13300","12800","33090","29810"
"In post","2021","Declared non-disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Female","15280","13780","32170","27570"
"In post","2021","Declared non-disabled","South West (England)","Male","16400","15960","36650","33300"
"In post","2021","Declared non-disabled","Unknown","Female","580","530","32300","27570"
"In post","2021","Declared non-disabled","Unknown","Male","430","420","33850","27570"
"In post","2021","Declared non-disabled","Wales","Female","14600","12970","30290","27380"
"In post","2021","Declared non-disabled","Wales","Male","10380","10040","33590","28750"
"In post","2021","Declared non-disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Female","12140","10810","29380","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Male","8680","8430","31600","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Female","13950","12320","30530","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Male","11040","10660","32740","27570"
"In post","2021","Undeclared","East Midlands (England)","Female","710","640","28110","27380"
"In post","2021","Undeclared","East Midlands (England)","Male","790","750","30790","31610"
"In post","2021","Undeclared","East of England","Female","760","690","29750","27570"
"In post","2021","Undeclared","East of England","Male","970","920","32580","31650"
"In post","2021","Undeclared","London","Female","2940","2780","40470","35260"
"In post","2021","Undeclared","London","Male","3150","3080","43790","37640"
"In post","2021","Undeclared","North East (England)","Female","780","680","27560","25560"
"In post","2021","Undeclared","North East (England)","Male","990","930","30620","30870"
"In post","2021","Undeclared","North West (England)","Female","1670","1500","28760","27380"
"In post","2021","Undeclared","North West (England)","Male","1790","1690","30720","30820"
"In post","2021","Undeclared","Northern Ireland","Female","100","90","28810","26750"
"In post","2021","Undeclared","Northern Ireland","Male","110","110","28340","25560"
"In post","2021","Undeclared","Overseas","Female","50","50","[c]","[c]"
"In post","2021","Undeclared","Overseas","Male","120","120","46480","41160"
"In post","2021","Undeclared","Scotland","Female","730","660","29610","27370"
"In post","2021","Undeclared","Scotland","Male","700","680","32260","27570"
"In post","2021","Undeclared","South East (England)","Female","1420","1280","30110","27570"
"In post","2021","Undeclared","South East (England)","Male","1950","1860","33500","31810"
"In post","2021","Undeclared","South West (England)","Female","1090","980","32530","28650"
"In post","2021","Undeclared","South West (England)","Male","1730","1680","36770","33520"
"In post","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Undeclared","Wales","Female","880","780","28470","26350"
"In post","2021","Undeclared","Wales","Male","1050","990","31420","28750"
"In post","2021","Undeclared","West Midlands (England)","Female","940","850","29190","27380"
"In post","2021","Undeclared","West Midlands (England)","Male","1000","960","31070","29320"
"In post","2021","Undeclared","Yorkshire and The Humber","Female","1020","910","30850","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Male","1260","1200","31660","31650"
"In post","2021","Unknown","East Midlands (England)","Female","1510","1390","27360","25300"
"In post","2021","Unknown","East Midlands (England)","Male","1430","1390","28650","25560"
"In post","2021","Unknown","East of England","Female","1330","1230","31260","27550"
"In post","2021","Unknown","East of England","Male","1450","1420","32610","29200"
"In post","2021","Unknown","London","Female","10330","9970","42400","36160"
"In post","2021","Unknown","London","Male","9000","8900","45110","39580"
"In post","2021","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North East (England)","Female","2870","2480","25210","21440"
"In post","2021","Unknown","North East (England)","Male","2240","2160","27970","25560"
"In post","2021","Unknown","North West (England)","Female","4440","4080","28370","25560"
"In post","2021","Unknown","North West (England)","Male","4170","4070","30370","26130"
"In post","2021","Unknown","Northern Ireland","Female","400","360","26610","22330"
"In post","2021","Unknown","Northern Ireland","Male","570","560","26360","21880"
"In post","2021","Unknown","Overseas","Female","390","390","50680","46620"
"In post","2021","Unknown","Overseas","Male","400","400","54610","53470"
"In post","2021","Unknown","Scotland","Female","7040","6440","31450","27570"
"In post","2021","Unknown","Scotland","Male","7690","7360","32810","30930"
"In post","2021","Unknown","South East (England)","Female","2680","2420","30430","27570"
"In post","2021","Unknown","South East (England)","Male","3210","3070","32540","29290"
"In post","2021","Unknown","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South West (England)","Female","2540","2330","32470","27900"
"In post","2021","Unknown","South West (England)","Male","3400","3320","35830","32670"
"In post","2021","Unknown","Unknown","Female","480","470","34480","32000"
"In post","2021","Unknown","Unknown","Male","1990","1990","37870","33570"
"In post","2021","Unknown","Wales","Female","2940","2680","27590","23320"
"In post","2021","Unknown","Wales","Male","2680","2610","30240","25790"
"In post","2021","Unknown","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Female","2150","2010","29760","25560"
"In post","2021","Unknown","West Midlands (England)","Male","1990","1940","31790","26700"
"In post","2021","Unknown","Yorkshire and The Humber","Female","2650","2490","30950","26350"
"In post","2021","Unknown","Yorkshire and The Humber","Male","2700","2650","30380","25790"
"In post","2022","Declared disabled","East Midlands (England)","Female","1830","1630","29080","27570"
"In post","2022","Declared disabled","East Midlands (England)","Male","1130","1080","29280","27570"
"In post","2022","Declared disabled","East of England","Female","1670","1500","29720","27570"
"In post","2022","Declared disabled","East of England","Male","1040","980","31330","29290"
"In post","2022","Declared disabled","London","Female","5870","5510","40250","34610"
"In post","2022","Declared disabled","London","Male","4060","3950","42800","37640"
"In post","2022","Declared disabled","North East (England)","Female","2390","2040","27740","26820"
"In post","2022","Declared disabled","North East (England)","Male","1450","1350","29090","26950"
"In post","2022","Declared disabled","North West (England)","Female","4760","4180","28860","27570"
"In post","2022","Declared disabled","North West (England)","Male","2930","2770","30050","27570"
"In post","2022","Declared disabled","Northern Ireland","Female","190","170","30140","26820"
"In post","2022","Declared disabled","Northern Ireland","Male","150","150","28590","26820"
