"Status","Year","Parent_department","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Heterosexual / straight","750","700","42240","40800"
"In post","2021","Attorney General's Departments","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Unknown","120","100","43900","51010"
"In post","2021","Attorney General's Departments","Black","Heterosexual / straight","450","430","39900","31710"
"In post","2021","Attorney General's Departments","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Unknown","80","70","42260","35000"
"In post","2021","Attorney General's Departments","Chinese","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Heterosexual / straight","220","210","46000","50520"
"In post","2021","Attorney General's Departments","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Heterosexual / straight","70","70","46490","49580"
"In post","2021","Attorney General's Departments","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Undeclared","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","90","90","44980","46800"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","160","150","40540","33770"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","980","910","47620","51250"
"In post","2021","Attorney General's Departments","White","Heterosexual / straight","5040","4720","44900","48080"
"In post","2021","Attorney General's Departments","White","LGBO","360","340","45750","48080"
"In post","2021","Attorney General's Departments","White","Undeclared","210","190","46950","50520"
"In post","2021","Attorney General's Departments","White","Unknown","990","880","47670","52890"
"In post","2021","Cabinet Office","Asian","Heterosexual / straight","420","410","45750","40600"
"In post","2021","Cabinet Office","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Unknown","[c]","[c]","[c]","[c]"
